,Species,Spacing (m),Yield Class,Management,Period (year),Carbon Standing (tCO2e/ ha/yr),Debris (tCO2e/ha/yr),Total (tCO2/ha/yr),Cumulative       in-period (tCO2e/ha/ 5yr period),Cum. Biomass Sequestrn (tCO2e/ha),Cum. Emis. Ongoing Mgmt (tCO2e/ha),Cumulative Total Sequestrn (tCO2e/ha),Removed from Forest (tCO2e/ha/yr)
NF1.520Thinned030,NF ,1.5,20,Thinned, 30-35,10.04,2.17,12.21,61.0,399.4,-1.86,397.6,7.96
NF1.520Thinned035,NF ,1.5,20,Thinned, 35-40,11.14,2.24,13.38,66.9,466.3,-3.20,463.1,7.64
NF1.520Thinned040,NF ,1.5,20,Thinned, 40-45,8.53,1.32,9.85,49.3,515.6,-4.56,511.0,7.74
NF1.520Thinned045,NF ,1.5,20,Thinned, 45-50,8.68,0.93,9.62,48.1,563.7,-5.91,557.8,7.65
NF1.520Thinned050,NF ,1.5,20,Thinned, 50-55,7.48,0.27,7.75,38.8,602.4,-7.28,595.1,7.78
NF1.520Thinned055,NF ,1.5,20,Thinned, 55-60,8.03,-0.24,7.79,38.9,641.4,-8.51,632.9,7.02
NF1.520Thinned060,NF ,1.5,20,Thinned, 60-65,7.81,-0.38,7.43,37.2,678.5,-9.65,668.9,6.43
NF1.520Thinned065,NF ,1.5,20,Thinned, 65-70,7.75,-0.17,7.58,37.9,716.4,-10.71,705.7,6.07
NF1.520Thinned070,NF ,1.5,20,Thinned, 70-75,5.51,-0.19,5.32,26.6,743.0,-11.75,731.3,5.89
NF1.520Thinned075,NF ,1.5,20,Thinned, 75-80,6.35,-0.04,6.32,31.6,774.6,-12.77,761.8,5.78
NF1.520Thinned080,NF ,1.5,20,Thinned, 80-85,5.31,-0.03,5.28,26.4,801.0,-13.76,787.2,5.64
NF1.520Thinned085,NF ,1.5,20,Thinned, 85-90,3.79,-0.12,3.67,18.4,819.3,-14.74,804.6,5.54
NF1.520Thinned090,NF ,1.5,20,Thinned, 90-95,3.71,-0.21,3.50,17.5,836.8,-15.70,821.1,5.44
NF1.520Thinned095,NF ,1.5,20,Thinned, 95-100,3.27,-0.23,3.04,15.2,852.0,-16.64,835.4,5.32
NF1.520Thinned100,NF ,1.5,20,Thinned,100-105,2.89,-0.23,2.66,13.3,865.3,-17.55,847.8,5.20
NF1.520Thinned105,NF ,1.5,20,Thinned,105-110,1.66,-0.29,1.37,6.9,872.2,-18.45,853.7,5.10
NF1.520Thinned110,NF ,1.5,20,Thinned,110-115,1.55,-0.32,1.22,6.1,878.3,-19.33,859.0,5.00
NF1.520Thinned115,NF ,1.5,20,Thinned,115-120,1.17,-0.34,0.83,4.1,882.4,-20.19,862.2,4.89
NF1.520Thinned120,NF ,1.5,20,Thinned,120-125,0.79,-0.35,0.44,2.2,884.6,-21.03,863.6,4.79
NF1.520Thinned125,NF ,1.5,20,Thinned,125-130,0.42,-0.35,0.07,0.3,885.0,-21.85,863.1,4.68
NF1.520Thinned130,NF ,1.5,20,Thinned,130-135,0.14,-0.35,-0.21,-1.0,883.9,-22.66,861.3,4.58
NF1.520Thinned135,NF ,1.5,20,Thinned,135-140,-0.20,-0.35,-0.55,-2.7,881.2,-23.45,857.8,4.48
NF1.520Thinned140,NF ,1.5,20,Thinned,140-145,-0.45,-0.35,-0.80,-4.0,877.2,-24.22,853.0,4.38
NF1.520Thinned145,NF ,1.5,20,Thinned,145-150,-0.73,-0.35,-1.07,-5.4,871.8,-24.97,846.9,4.28
NF1.520Thinned150,NF ,1.5,20,Thinned,150-155,-0.97,-0.34,-1.31,-6.6,865.3,-25.71,839.6,4.18
NF1.520Thinned155,NF ,1.5,20,Thinned,155-160,-1.19,-0.34,-1.53,-7.6,857.7,-26.43,831.2,4.09
NF1.520Thinned160,NF ,1.5,20,Thinned,160-165,-1.39,-0.34,-1.73,-8.6,849.0,-27.13,821.9,3.99
NF1.520Thinned165,NF ,1.5,20,Thinned,165-170,-1.59,-0.33,-1.92,-9.6,839.4,-27.82,811.6,3.90
NF1.520Thinned170,NF ,1.5,20,Thinned,170-175,-1.73,-0.33,-2.05,-10.3,829.1,-28.49,800.6,3.81
NF1.520Thinned175,NF ,1.5,20,Thinned,175-180,-1.89,-0.32,-2.22,-11.1,818.0,-29.15,788.9,3.73
NF1.520Thinned180,NF ,1.5,20,Thinned,180-185,-2.05,-0.32,-2.36,-11.8,806.2,-29.78,776.4,3.64
NF1.520Thinned185,NF ,1.5,20,Thinned,185-190,-2.15,-0.31,-2.47,-12.3,793.9,-30.41,763.5,3.56
NF1.520Thinned190,NF ,1.5,20,Thinned,190-195,-2.28,-0.31,-2.58,-12.9,781.0,-31.02,750.0,3.48
NF1.520Thinned195,NF ,1.5,20,Thinned,195-200,-2.41,-0.30,-2.71,-13.6,767.4,-31.63,735.8,3.40
NF1.522NO_thin000,NF ,1.5,22,NO_thin,  0-5,1.19,1.16,2.35,11.7,11.7,0.00,11.7,0.00
NF1.522NO_thin005,NF ,1.5,22,NO_thin,  5-10,3.62,1.43,5.05,25.3,37.0,0.00,37.0,0.00
NF1.522NO_thin010,NF ,1.5,22,NO_thin, 10-15,11.06,1.44,12.50,62.5,99.5,0.00,99.5,0.00
NF1.522NO_thin015,NF ,1.5,22,NO_thin, 15-20,27.61,2.95,30.56,152.8,252.3,0.00,252.3,0.00
NF1.522NO_thin020,NF ,1.5,22,NO_thin, 20-25,27.42,12.16,39.58,197.9,450.2,0.00,450.2,0.00
NF1.522NO_thin025,NF ,1.5,22,NO_thin, 25-30,16.20,7.31,23.51,117.5,567.7,0.00,567.7,0.00
NF1.522NO_thin030,NF ,1.5,22,NO_thin, 30-35,18.73,3.44,22.17,110.9,678.6,0.00,678.6,0.00
NF1.522NO_thin035,NF ,1.5,22,NO_thin, 35-40,18.09,3.30,21.39,107.0,785.6,0.00,785.6,0.00
NF1.522NO_thin040,NF ,1.5,22,NO_thin, 40-45,17.15,1.97,19.12,95.6,881.2,0.00,881.2,0.00
NF1.522NO_thin045,NF ,1.5,22,NO_thin, 45-50,16.29,0.44,16.74,83.7,964.9,0.00,964.9,0.00
NF1.522NO_thin050,NF ,1.5,22,NO_thin, 50-55,15.23,-0.11,15.11,75.6,1040.4,0.00,1040.4,0.00
NF1.522NO_thin055,NF ,1.5,22,NO_thin, 55-60,14.32,-0.71,13.61,68.1,1108.5,0.00,1108.5,0.00
NF1.522NO_thin060,NF ,1.5,22,NO_thin, 60-65,13.55,-0.47,13.09,65.4,1173.9,0.00,1173.9,0.00
NF1.522NO_thin065,NF ,1.5,22,NO_thin, 65-70,12.94,0.03,12.97,64.9,1238.8,0.00,1238.8,0.00
NF1.522NO_thin070,NF ,1.5,22,NO_thin, 70-75,12.25,0.38,12.63,63.2,1302.0,0.00,1302.0,0.00
NF1.522NO_thin075,NF ,1.5,22,NO_thin, 75-80,11.41,0.57,11.99,59.9,1361.9,0.00,1361.9,0.00
NF1.522NO_thin080,NF ,1.5,22,NO_thin, 80-85,10.58,-0.47,10.11,50.6,1412.5,0.00,1412.5,0.00
NF1.522NO_thin085,NF ,1.5,22,NO_thin, 85-90,9.76,-0.59,9.17,45.8,1458.3,0.00,1458.3,0.00
NF1.522NO_thin090,NF ,1.5,22,NO_thin, 90-95,9.04,-0.43,8.61,43.1,1501.4,0.00,1501.4,0.00
NF1.522NO_thin095,NF ,1.5,22,NO_thin, 95-100,8.53,-0.32,8.21,41.1,1542.4,0.00,1542.4,0.00
NF1.522NO_thin100,NF ,1.5,22,NO_thin,100-105,8.19,-0.20,7.98,39.9,1582.3,0.00,1582.3,0.00
NF1.522NO_thin105,NF ,1.5,22,NO_thin,105-110,7.63,-0.49,7.15,35.7,1618.1,0.00,1618.1,0.00
NF1.522NO_thin110,NF ,1.5,22,NO_thin,110-115,7.09,-0.46,6.63,33.2,1651.2,0.00,1651.2,0.00
NF1.522NO_thin115,NF ,1.5,22,NO_thin,115-120,6.58,-0.50,6.07,30.4,1681.6,0.00,1681.6,0.00
NF1.522NO_thin120,NF ,1.5,22,NO_thin,120-125,6.14,-0.51,5.63,28.2,1709.7,0.00,1709.7,0.00
NF1.522NO_thin125,NF ,1.5,22,NO_thin,125-130,5.72,-0.44,5.29,26.4,1736.2,0.00,1736.2,0.00
NF1.522NO_thin130,NF ,1.5,22,NO_thin,130-135,5.32,-0.38,4.94,24.7,1760.9,0.00,1760.9,0.00
NF1.522NO_thin135,NF ,1.5,22,NO_thin,135-140,5.03,-0.35,4.68,23.4,1784.3,0.00,1784.3,0.00
NF1.522NO_thin140,NF ,1.5,22,NO_thin,140-145,4.65,-0.32,4.32,21.6,1805.9,0.00,1805.9,0.00
NF1.522NO_thin145,NF ,1.5,22,NO_thin,145-150,4.39,-0.30,4.08,20.4,1826.3,0.00,1826.3,0.00
NF1.522NO_thin150,NF ,1.5,22,NO_thin,150-155,4.07,-0.29,3.78,18.9,1845.2,0.00,1845.2,0.00
NF1.522NO_thin155,NF ,1.5,22,NO_thin,155-160,3.80,-0.27,3.52,17.6,1862.9,0.00,1862.9,0.00
NF1.522NO_thin160,NF ,1.5,22,NO_thin,160-165,3.63,-0.26,3.37,16.9,1879.7,0.00,1879.7,0.00
NF1.522NO_thin165,NF ,1.5,22,NO_thin,165-170,3.33,-0.25,3.08,15.4,1895.1,0.00,1895.1,0.00
NF1.522NO_thin170,NF ,1.5,22,NO_thin,170-175,3.18,-0.23,2.95,14.8,1909.9,0.00,1909.9,0.00
NF1.522NO_thin175,NF ,1.5,22,NO_thin,175-180,2.91,-0.22,2.70,13.5,1923.4,0.00,1923.4,0.00
NF1.522NO_thin180,NF ,1.5,22,NO_thin,180-185,2.75,-0.20,2.54,12.7,1936.1,0.00,1936.1,0.00
NF1.522NO_thin185,NF ,1.5,22,NO_thin,185-190,2.60,-0.19,2.41,12.1,1948.2,0.00,1948.2,0.00
NF1.522NO_thin190,NF ,1.5,22,NO_thin,190-195,2.45,-0.18,2.27,11.4,1959.5,0.00,1959.5,0.00
NF1.522NO_thin195,NF ,1.5,22,NO_thin,195-200,2.23,-0.17,2.07,10.3,1969.8,0.00,1969.8,0.00
NF1.522Thinned000,NF ,1.5,22,Thinned,  0-5,1.19,1.16,2.35,11.7,11.7,0.00,11.7,0.00
NF1.522Thinned005,NF ,1.5,22,Thinned,  5-10,3.62,1.43,5.05,25.3,37.0,0.00,37.0,0.00
NF1.522Thinned010,NF ,1.5,22,Thinned, 10-15,11.06,1.44,12.50,62.5,99.5,0.00,99.5,0.00
NF1.522Thinned015,NF ,1.5,22,Thinned, 15-20,27.61,2.95,30.56,152.8,252.3,0.00,252.3,0.00
NF1.522Thinned020,NF ,1.5,22,Thinned, 20-25,8.93,4.03,12.97,64.8,317.1,-0.27,316.9,15.49
NF1.522Thinned025,NF ,1.5,22,Thinned, 25-30,10.68,0.91,11.60,58.0,375.1,-0.50,374.6,13.02
NF1.522Thinned030,NF ,1.5,22,Thinned, 30-35,11.04,3.84,14.88,74.4,449.5,-1.90,447.6,7.95
NF1.522Thinned035,NF ,1.5,22,Thinned, 35-40,10.55,2.17,12.72,63.6,513.1,-3.36,509.8,8.31
NF1.522Thinned040,NF ,1.5,22,Thinned, 40-45,11.09,1.01,12.10,60.5,573.6,-4.85,568.8,8.49
NF1.522Thinned045,NF ,1.5,22,Thinned, 45-50,8.49,0.29,8.78,43.9,617.6,-6.35,611.2,8.54
NF1.522Thinned050,NF ,1.5,22,Thinned, 50-55,8.22,-0.03,8.19,40.9,658.5,-7.86,650.6,8.55
NF1.522Thinned055,NF ,1.5,22,Thinned, 55-60,7.99,-0.34,7.65,38.3,696.8,-9.24,687.5,7.82
NF1.522Thinned060,NF ,1.5,22,Thinned, 60-65,8.40,-0.23,8.17,40.9,737.6,-10.49,727.1,7.15
NF1.522Thinned065,NF ,1.5,22,Thinned, 65-70,7.71,-0.17,7.54,37.7,775.3,-11.70,763.6,6.83
NF1.522Thinned070,NF ,1.5,22,Thinned, 70-75,7.97,-0.10,7.87,39.4,814.7,-12.86,801.8,6.59
NF1.522Thinned075,NF ,1.5,22,Thinned, 75-80,6.30,-0.04,6.26,31.3,846.0,-13.98,832.0,6.41
NF1.522Thinned080,NF ,1.5,22,Thinned, 80-85,5.65,-0.17,5.48,27.4,873.4,-15.09,858.3,6.28
NF1.522Thinned085,NF ,1.5,22,Thinned, 85-90,5.26,-0.19,5.07,25.4,898.8,-16.17,882.6,6.11
NF1.522Thinned090,NF ,1.5,22,Thinned, 90-95,4.01,-0.20,3.81,19.1,917.8,-17.21,900.6,5.94
NF1.522Thinned095,NF ,1.5,22,Thinned, 95-100,3.59,-0.28,3.31,16.6,934.4,-18.23,916.1,5.81
NF1.522Thinned100,NF ,1.5,22,Thinned,100-105,3.15,-0.32,2.83,14.2,948.5,-19.23,929.3,5.66
NF1.522Thinned105,NF ,1.5,22,Thinned,105-110,2.66,-0.34,2.32,11.6,960.2,-20.20,940.0,5.51
NF1.522Thinned110,NF ,1.5,22,Thinned,110-115,2.20,-0.34,1.86,9.3,969.4,-21.14,948.3,5.36
NF1.522Thinned115,NF ,1.5,22,Thinned,115-120,1.76,-0.34,1.42,7.1,976.5,-22.06,954.5,5.22
NF1.522Thinned120,NF ,1.5,22,Thinned,120-125,1.37,-0.34,1.03,5.1,981.7,-22.95,958.7,5.07
NF1.522Thinned125,NF ,1.5,22,Thinned,125-130,1.01,-0.34,0.67,3.4,985.0,-23.82,961.2,4.93
NF1.522Thinned130,NF ,1.5,22,Thinned,130-135,0.66,-0.34,0.31,1.6,986.6,-24.67,961.9,4.79
NF1.522Thinned135,NF ,1.5,22,Thinned,135-140,0.29,-0.34,-0.05,-0.3,986.3,-25.49,960.9,4.66
NF1.522Thinned140,NF ,1.5,22,Thinned,140-145,0.06,-0.34,-0.28,-1.4,984.9,-26.28,958.7,4.53
NF1.522Thinned145,NF ,1.5,22,Thinned,145-150,-0.26,-0.34,-0.60,-3.0,981.9,-27.06,954.9,4.40
NF1.522Thinned150,NF ,1.5,22,Thinned,150-155,-0.53,-0.33,-0.86,-4.3,977.6,-27.81,949.8,4.27
NF1.522Thinned155,NF ,1.5,22,Thinned,155-160,-0.74,-0.33,-1.06,-5.3,972.3,-28.54,943.8,4.15
NF1.522Thinned160,NF ,1.5,22,Thinned,160-165,-1.00,-0.33,-1.33,-6.7,965.7,-29.25,936.4,4.04
NF1.522Thinned165,NF ,1.5,22,Thinned,165-170,-1.24,-0.32,-1.56,-7.8,957.9,-29.94,927.9,3.92
NF1.522Thinned170,NF ,1.5,22,Thinned,170-175,-1.38,-0.32,-1.70,-8.5,949.4,-30.61,918.7,3.82
NF1.522Thinned175,NF ,1.5,22,Thinned,175-180,-1.55,-0.32,-1.87,-9.3,940.0,-31.27,908.8,3.71
NF1.522Thinned180,NF ,1.5,22,Thinned,180-185,-1.71,-0.31,-2.02,-10.1,929.9,-31.90,898.0,3.61
NF1.522Thinned185,NF ,1.5,22,Thinned,185-190,-1.84,-0.30,-2.14,-10.7,919.2,-32.52,886.7,3.51
NF1.522Thinned190,NF ,1.5,22,Thinned,190-195,-1.95,-0.30,-2.25,-11.3,907.9,-33.12,874.8,3.41
NF1.522Thinned195,NF ,1.5,22,Thinned,195-200,-2.06,-0.29,-2.35,-11.8,896.2,-33.71,862.5,3.32
NS1.506NO_thin000,NS ,1.5,6,NO_thin,  0-5,0.04,0.14,0.18,0.9,0.9,0.00,0.9,0.00
NS1.506NO_thin005,NS ,1.5,6,NO_thin,  5-10,0.12,0.17,0.29,1.4,2.3,0.00,2.3,0.00
NS1.506NO_thin010,NS ,1.5,6,NO_thin, 10-15,0.36,0.17,0.53,2.7,5.0,0.00,5.0,0.00
NS1.506NO_thin015,NS ,1.5,6,NO_thin, 15-20,1.10,0.17,1.28,6.4,11.4,0.00,11.4,0.00
NS1.506NO_thin020,NS ,1.5,6,NO_thin, 20-25,3.37,0.17,3.54,17.7,29.1,0.00,29.1,0.00
NS1.506NO_thin025,NS ,1.5,6,NO_thin, 25-30,10.29,0.17,10.46,52.3,81.4,0.00,81.4,0.00
NS1.506NO_thin030,NS ,1.5,6,NO_thin, 30-35,17.81,0.84,18.65,93.2,174.6,0.00,174.6,0.00
NS1.506NO_thin035,NS ,1.5,6,NO_thin, 35-40,9.52,0.43,9.95,49.8,224.4,0.00,224.4,0.00
NS1.506NO_thin040,NS ,1.5,6,NO_thin, 40-45,7.13,1.42,8.54,42.7,267.1,0.00,267.1,0.00
NS1.506NO_thin045,NS ,1.5,6,NO_thin, 45-50,5.53,3.11,8.64,43.2,310.3,0.00,310.3,0.00
NS1.506NO_thin050,NS ,1.5,6,NO_thin, 50-55,5.03,1.92,6.95,34.7,345.1,0.00,345.1,0.00
NS1.506NO_thin055,NS ,1.5,6,NO_thin, 55-60,5.13,0.33,5.46,27.3,372.4,0.00,372.4,0.00
NS1.506NO_thin060,NS ,1.5,6,NO_thin, 60-65,5.12,-0.18,4.94,24.7,397.1,0.00,397.1,0.00
NS1.506NO_thin065,NS ,1.5,6,NO_thin, 65-70,5.09,-0.32,4.77,23.9,420.9,0.00,420.9,0.00
NS1.506NO_thin070,NS ,1.5,6,NO_thin, 70-75,4.98,-0.25,4.73,23.6,444.5,0.00,444.5,0.00
NS1.506NO_thin075,NS ,1.5,6,NO_thin, 75-80,4.61,-0.37,4.24,21.2,465.8,0.00,465.8,0.00
NS1.506NO_thin080,NS ,1.5,6,NO_thin, 80-85,4.22,-0.19,4.03,20.1,485.9,0.00,485.9,0.00
NS1.506NO_thin085,NS ,1.5,6,NO_thin, 85-90,3.85,-0.24,3.62,18.1,504.0,0.00,504.0,0.00
NS1.506NO_thin090,NS ,1.5,6,NO_thin, 90-95,3.50,-0.24,3.27,16.3,520.3,0.00,520.3,0.00
NS1.506NO_thin095,NS ,1.5,6,NO_thin, 95-100,3.35,-0.04,3.32,16.6,536.9,0.00,536.9,0.00
NS1.506NO_thin100,NS ,1.5,6,NO_thin,100-105,3.06,-0.10,2.96,14.8,551.7,0.00,551.7,0.00
NS1.506NO_thin105,NS ,1.5,6,NO_thin,105-110,2.80,-0.23,2.57,12.8,564.5,0.00,564.5,0.00
NS1.506NO_thin110,NS ,1.5,6,NO_thin,110-115,2.58,-0.31,2.27,11.4,575.9,0.00,575.9,0.00
NS1.506NO_thin115,NS ,1.5,6,NO_thin,115-120,2.42,-0.21,2.20,11.0,586.9,0.00,586.9,0.00
NS1.506NO_thin120,NS ,1.5,6,NO_thin,120-125,2.25,0.09,2.34,11.7,598.6,0.00,598.6,0.00
NS1.506NO_thin125,NS ,1.5,6,NO_thin,125-130,2.04,-0.29,1.75,8.8,607.3,0.00,607.3,0.00
NS1.506NO_thin130,NS ,1.5,6,NO_thin,130-135,1.93,0.37,2.29,11.5,618.8,0.00,618.8,0.00
NS1.506NO_thin135,NS ,1.5,6,NO_thin,135-140,1.78,-0.35,1.43,7.1,625.9,0.00,625.9,0.00
NS1.506NO_thin140,NS ,1.5,6,NO_thin,140-145,1.66,-0.36,1.30,6.5,632.4,0.00,632.4,0.00
NS1.506NO_thin145,NS ,1.5,6,NO_thin,145-150,1.60,-0.31,1.29,6.4,638.9,0.00,638.9,0.00
NS1.506NO_thin150,NS ,1.5,6,NO_thin,150-155,1.41,-0.09,1.32,6.6,645.5,0.00,645.5,0.00
NS1.506NO_thin155,NS ,1.5,6,NO_thin,155-160,1.29,-0.20,1.08,5.4,650.9,0.00,650.9,0.00
NS1.506NO_thin160,NS ,1.5,6,NO_thin,160-165,1.17,-0.16,1.01,5.1,656.0,0.00,656.0,0.00
NS1.506NO_thin165,NS ,1.5,6,NO_thin,165-170,1.12,-0.15,0.97,4.9,660.8,0.00,660.8,0.00
NS1.506NO_thin170,NS ,1.5,6,NO_thin,170-175,1.14,-0.14,1.00,5.0,665.8,0.00,665.8,0.00
NS1.506NO_thin175,NS ,1.5,6,NO_thin,175-180,0.92,-0.08,0.84,4.2,670.0,0.00,670.0,0.00
NS1.506NO_thin180,NS ,1.5,6,NO_thin,180-185,0.78,-0.09,0.69,3.5,673.5,0.00,673.5,0.00
NS1.506NO_thin185,NS ,1.5,6,NO_thin,185-190,0.81,-0.08,0.73,3.7,677.1,0.00,677.1,0.00
NS1.506NO_thin190,NS ,1.5,6,NO_thin,190-195,0.83,-0.07,0.76,3.8,680.9,0.00,680.9,0.00
NS1.506NO_thin195,NS ,1.5,6,NO_thin,195-200,0.70,0.31,1.01,5.1,686.0,0.00,686.0,0.00
NS1.506Thinned000,NS ,1.5,6,Thinned,  0-5,0.04,0.14,0.18,0.9,0.9,0.00,0.9,0.00
NS1.506Thinned005,NS ,1.5,6,Thinned,  5-10,0.12,0.17,0.29,1.4,2.3,0.00,2.3,0.00
NS1.506Thinned010,NS ,1.5,6,Thinned, 10-15,0.36,0.17,0.53,2.7,5.0,0.00,5.0,0.00
NS1.506Thinned015,NS ,1.5,6,Thinned, 15-20,1.10,0.17,1.28,6.4,11.4,0.00,11.4,0.00
NS1.506Thinned020,NS ,1.5,6,Thinned, 20-25,3.37,0.17,3.54,17.7,29.1,0.00,29.1,0.00
NS1.506Thinned025,NS ,1.5,6,Thinned, 25-30,10.29,0.17,10.46,52.3,81.4,0.00,81.4,0.00
NS1.506Thinned030,NS ,1.5,6,Thinned, 30-35,7.27,4.78,12.05,60.2,141.6,-0.14,141.5,7.73
NS1.506Thinned035,NS ,1.5,6,Thinned, 35-40,1.51,-0.27,1.24,6.2,147.8,-0.23,147.6,5.62
NS1.506Thinned040,NS ,1.5,6,Thinned, 40-45,3.65,2.39,6.04,30.2,178.0,-0.51,177.5,1.60
NS1.506Thinned045,NS ,1.5,6,Thinned, 45-50,3.40,1.20,4.60,23.0,201.0,-0.85,200.2,1.95
NS1.506Thinned050,NS ,1.5,6,Thinned, 50-55,4.00,0.09,4.09,20.4,221.4,-1.24,220.2,2.17
NS1.506Thinned055,NS ,1.5,6,Thinned, 55-60,4.06,-0.69,3.37,16.9,238.3,-1.66,236.7,2.38
NS1.506Thinned060,NS ,1.5,6,Thinned, 60-65,3.11,-1.06,2.05,10.3,248.6,-2.09,246.5,2.44
NS1.506Thinned065,NS ,1.5,6,Thinned, 65-70,4.23,-0.88,3.35,16.7,265.3,-2.48,262.8,2.25
NS1.506Thinned070,NS ,1.5,6,Thinned, 70-75,4.77,-0.78,3.99,20.0,285.3,-2.80,282.5,1.81
NS1.506Thinned075,NS ,1.5,6,Thinned, 75-80,3.21,-0.57,2.64,13.2,298.5,-3.10,295.4,1.71
NS1.506Thinned080,NS ,1.5,6,Thinned, 80-85,3.44,-0.39,3.05,15.2,313.7,-3.38,310.3,1.59
NS1.506Thinned085,NS ,1.5,6,Thinned, 85-90,3.66,-0.29,3.37,16.8,330.5,-3.64,326.9,1.45
NS1.506Thinned090,NS ,1.5,6,Thinned, 90-95,3.51,-0.20,3.31,16.6,347.1,-3.87,343.2,1.32
NS1.506Thinned095,NS ,1.5,6,Thinned, 95-100,3.32,-0.13,3.18,15.9,363.0,-4.08,358.9,1.21
NS1.506Thinned100,NS ,1.5,6,Thinned,100-105,2.54,0.14,2.69,13.4,376.4,-4.25,372.2,0.98
NS1.506Thinned105,NS ,1.5,6,Thinned,105-110,2.24,-0.18,2.05,10.3,386.7,-4.44,382.3,1.04
NS1.506Thinned110,NS ,1.5,6,Thinned,110-115,2.26,-0.20,2.06,10.3,397.0,-4.61,392.4,0.96
NS1.506Thinned115,NS ,1.5,6,Thinned,115-120,2.33,-0.18,2.14,10.7,407.7,-4.76,402.9,0.88
NS1.506Thinned120,NS ,1.5,6,Thinned,120-125,2.24,-0.16,2.08,10.4,418.1,-4.90,413.2,0.81
NS1.506Thinned125,NS ,1.5,6,Thinned,125-130,2.07,-0.10,1.97,9.8,427.9,-5.03,422.9,0.74
NS1.506Thinned130,NS ,1.5,6,Thinned,130-135,1.93,-0.07,1.86,9.3,437.3,-5.16,432.1,0.68
NS1.506Thinned135,NS ,1.5,6,Thinned,135-140,1.79,-0.06,1.73,8.7,445.9,-5.27,440.6,0.62
NS1.506Thinned140,NS ,1.5,6,Thinned,140-145,1.63,-0.05,1.58,7.9,453.8,-5.36,448.4,0.57
NS1.506Thinned145,NS ,1.5,6,Thinned,145-150,1.57,-0.05,1.52,7.6,461.4,-5.46,456.0,0.52
NS1.506Thinned150,NS ,1.5,6,Thinned,150-155,1.44,-0.05,1.40,7.0,468.4,-5.54,462.9,0.48
NS1.506Thinned155,NS ,1.5,6,Thinned,155-160,1.12,-0.05,1.07,5.4,473.8,-5.62,468.2,0.44
NS1.506Thinned160,NS ,1.5,6,Thinned,160-165,1.03,-0.05,0.99,4.9,478.7,-5.69,473.0,0.41
NS1.506Thinned165,NS ,1.5,6,Thinned,165-170,0.92,-0.04,0.88,4.4,483.1,-5.76,477.3,0.38
NS1.506Thinned170,NS ,1.5,6,Thinned,170-175,0.92,-0.04,0.87,4.4,487.5,-5.82,481.6,0.35
NS1.506Thinned175,NS ,1.5,6,Thinned,175-180,0.84,-0.04,0.80,4.0,491.5,-5.87,485.6,0.32
NS1.506Thinned180,NS ,1.5,6,Thinned,180-185,0.78,-0.03,0.74,3.7,495.2,-5.93,489.3,0.29
NS1.506Thinned185,NS ,1.5,6,Thinned,185-190,0.71,-0.03,0.68,3.4,498.6,-5.97,492.7,0.27
NS1.506Thinned190,NS ,1.5,6,Thinned,190-195,0.74,-0.03,0.71,3.6,502.2,-6.02,496.2,0.25
NS1.506Thinned195,NS ,1.5,6,Thinned,195-200,1.07,-0.20,0.87,4.3,506.5,-6.02,500.5,0.00
NS1.508NO_thin000,NS ,1.5,8,NO_thin,  0-5,0.11,0.17,0.28,1.4,1.4,0.00,1.4,0.00
NS1.508NO_thin005,NS ,1.5,8,NO_thin,  5-10,0.33,0.21,0.54,2.7,4.1,0.00,4.1,0.00
NS1.508NO_thin010,NS ,1.5,8,NO_thin, 10-15,1.01,0.21,1.22,6.1,10.2,0.00,10.2,0.00
NS1.508NO_thin015,NS ,1.5,8,NO_thin, 15-20,3.08,0.21,3.29,16.4,26.6,0.00,26.6,0.00
NS1.508NO_thin020,NS ,1.5,8,NO_thin, 20-25,9.39,0.21,9.60,48.0,74.7,0.00,74.7,0.00
NS1.508NO_thin025,NS ,1.5,8,NO_thin, 25-30,20.37,0.77,21.14,105.7,180.4,0.00,180.4,0.00
NS1.508NO_thin030,NS ,1.5,8,NO_thin, 30-35,13.77,0.62,14.40,72.0,252.3,0.00,252.3,0.00
NS1.508NO_thin035,NS ,1.5,8,NO_thin, 35-40,6.29,4.07,10.36,51.8,304.1,0.00,304.1,0.00
NS1.508NO_thin040,NS ,1.5,8,NO_thin, 40-45,6.69,3.32,10.01,50.1,354.2,0.00,354.2,0.00
NS1.508NO_thin045,NS ,1.5,8,NO_thin, 45-50,7.02,0.87,7.89,39.5,393.7,0.00,393.7,0.00
NS1.508NO_thin050,NS ,1.5,8,NO_thin, 50-55,7.14,0.17,7.31,36.6,430.2,0.00,430.2,0.00
NS1.508NO_thin055,NS ,1.5,8,NO_thin, 55-60,6.97,-0.28,6.69,33.4,463.7,0.00,463.7,0.00
NS1.508NO_thin060,NS ,1.5,8,NO_thin, 60-65,6.70,-0.46,6.24,31.2,494.9,0.00,494.9,0.00
NS1.508NO_thin065,NS ,1.5,8,NO_thin, 65-70,6.24,-0.41,5.83,29.1,524.0,0.00,524.0,0.00
NS1.508NO_thin070,NS ,1.5,8,NO_thin, 70-75,5.92,-0.26,5.66,28.3,552.3,0.00,552.3,0.00
NS1.508NO_thin075,NS ,1.5,8,NO_thin, 75-80,5.55,-0.16,5.39,26.9,579.2,0.00,579.2,0.00
NS1.508NO_thin080,NS ,1.5,8,NO_thin, 80-85,5.06,-0.29,4.77,23.9,603.1,0.00,603.1,0.00
