fid,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl,OC,CaCO3,N,P,K,CEC,Notes,sample_ID,latitude,longitude,VH_1,VV_1,VH_2,VV_2,VH_3,VV_3,VH_4,VV_4,VH_5,VV_5,BAND_11,BAND_12,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,NDVI,EVI,SATVI,DEM_ELEV,DEM_CS,DEM_LSF,DEM_SLOPE,DEM_TWI
"11","47822602.00","2",26,42,32,7.65,7.06,18.2,219,1.8,29.2,225.5,19.9,,"20737",46.36,15.99,0.0368386134505272,0.194312989711761,0.040077093988657,0.205342441797256,0.0460787378251553,0.259653180837631,0.0483586490154266,0.178639963269234,0.0487965680658817,0.255401730537415,0.167158335447311,0.0657354146242142,0.011032291688025,0.0289158336818218,0.015135208144784,0.0734145864844322,0.329162508249283,0.418639570474625,0.279874175786972,0.451331257820129,-0.897391676902771,0.513879358768463,0.224298760294914,242.36003112793,1.57070934772491,37.4474258422852,89.9823455810547,0
"12","47782656.00","9",39,51,11,6.45,5.88,24.3,1,2.8,63.5,350.8,25.2,,"251",46.85,15.99,0.064264252781868,0.367470532655716,0.0481204017996788,0.235547363758087,0.0499149411916733,0.293496310710907,0.0453741848468781,0.274619728326797,0.0491714403033257,0.237940341234207,0.165399849414825,0.0698769241571426,0.0163220837712288,0.031159583479166,0.0160677079111338,0.0633765459060669,0.269284039735794,0.351512640714645,0.351478755474091,0.383246034383774,-0.912567734718323,0.632626950740814,0.217852473258972,306.762145996094,1.57072567939758,37.0722732543945,89.9958724975586,0
"13","47782620.00","2",30,58,12,4.65,3.73,27,0,2.5,13.3,82.9,19.6,,"20727",46.53,15.96,0.0641365274786949,0.853646397590637,0.0519962422549725,0.254377990961075,0.0564056225121021,0.282119065523148,0.0497558526694775,0.234268069267273,0.0613691285252571,0.298469096422195,0.25646385550499,0.161295711994171,0.0601258315145969,0.0939210429787636,0.0870789587497711,0.134226500988007,0.28539189696312,0.345535308122635,0.349268764257431,0.36784502863884,-0.600873529911041,0.461342245340347,0.171498775482178,249.979080200195,1.57067370414734,37.1855087280273,89.9930191040039,0
"14","47762666.00","8",21,63,16,5.64,5.15,14.8,0,1.5,13.1,96.7,13.5,,"255",46.94,15.98,0.0524740256369114,0.220224291086197,0.0460513047873974,0.151899352669716,0.0308928098529577,0.184601172804832,0.0304050222039223,0.189504712820053,0.0416230410337448,0.288916021585464,0.1698909252882,0.110971473157406,0.0337708331644535,0.0674041658639908,0.0514333359897137,0.112168803811073,0.202800422906876,0.235894232988358,0.299491673707962,0.250716358423233,-0.706869959831238,0.457736253738403,0.138496473431587,268.514007568359,1.57063019275665,37.6700210571289,89.98046875,0
"15","47762636.00","6",22,58,20,5.78,5.16,32.2,0,3.2,12.5,175.4,16.8,,"20724",46.67,15.95,0.0483527109026909,0.224889323115349,0.0427435748279095,0.128877311944962,0.115164443850517,0.276459276676178,0.0595926530659199,0.251278817653656,0.252583712339401,0.201275438070297,0.214077085256577,0.129854157567024,0.0371933355927467,0.0713622942566872,0.0494147911667824,0.125237494707108,0.265156239271164,0.305631250143051,0.343994587659836,0.335168749094009,-0.748786926269531,0.540897130966187,0.195719301700592,242.41667175293,1.5707083940506,37.3730621337891,89.9878387451172,0
"16","47742674.00","2",22,55,24,4.74,3.73,13.5,0,0.9,0,86.6,9.3,,"258",47.02,15.96,0.0517844185233116,0.321476250886917,0.0435415953397751,0.239794716238976,0.0187849812209606,0.0968829542398453,0.0191806014627218,0.0759360641241074,0.0203090514987707,0.095595546066761,0.113099999725819,0.0515500009059906,0.0132999997586012,0.0296999998390675,0.015650000423193,0.0532499998807907,0.211349993944168,0.258850008249283,0.227299988269806,0.277249991893768,-0.871166884899139,0.433194130659103,0.146893873810768,348.955810546875,1.57068181037903,37.0407028198242,89.997314453125,0
"17","47742664.00","5",19,39,42,5.53,4.66,19.9,0,2,0,58.8,12.8,,"249",46.93,15.95,0.0435838364064693,0.178623721003532,0.0261463355273008,0.291143387556076,0.0304082296788692,0.124618075788021,0.0223268326371908,0.100986607372761,0.0303782112896442,0.10540559887886,0.202908173203468,0.101109936833382,0.0196531247347593,0.0406718738377094,0.0218577086925507,0.0996322184801102,0.304845780134201,0.393374681472778,0.37382373213768,0.407560080289841,-0.889518678188324,0.648153722286224,0.245094135403633,287.857086181641,1.57070028781891,37.2364273071289,89.9941253662109,0
"18","47742660.00","10",25,52,22,4.91,4.18,25.5,0,1.9,0,146.5,10.9,,"252",46.89,15.95,0.0623708702623844,0.240763708949089,0.0505792312324047,0.240393370389938,0.0526067838072777,0.272889941930771,0.03809779509902,0.232817932963371,0.0543065741658211,0.253990679979324,0.168860584497452,0.0719794854521751,0.0172083340585232,0.0351499989628792,0.0186874996870756,0.0650727599859238,0.277564913034439,0.365996360778809,0.384249985218048,0.395876258611679,-0.907243669033051,0.66839599609375,0.216923102736473,332.022674560547,1.57052636146545,37.1876564025879,89.9927139282227,0
"19","47742642.00","15",19,71,10,5.89,5.4,17.4,1,2,10.4,31.4,9.4,,"254",46.73,15.93,0.0661647394299507,0.273432403802872,0.040152907371521,0.226257622241974,0.0546391606330872,0.189633801579475,0.0418183840811253,0.221838220953941,0.0563698299229145,0.321666568517685,0.253632426261902,0.152033224701881,0.0448541678488255,0.0791833326220512,0.0719750002026558,0.133873075246811,0.249582946300507,0.285528093576431,0.294691681861877,0.309880018234253,-0.607409119606018,0.40053054690361,0.198057636618614,226.518676757813,1.57036662101746,37.6920471191406,89.9769287109375,0
"20","47742614.00","18",21,70,9,4.35,3.44,39.1,1,1.8,0,68.5,7.7,,"20741",46.48,15.9,0.0507743693888187,0.244617164134979,0.0453633442521095,0.198057755827904,0.0404376536607742,0.179723307490349,0.0370113290846348,0.143681600689888,0.0391474887728691,0.149765595793724,0.16675528883934,0.0704634115099907,0.0196485426276922,0.0404981225728989,0.0194956250488758,0.0689088106155396,0.288579285144806,0.362375855445862,0.379525423049927,0.394473612308502,-0.90228271484375,0.667149245738983,0.213045716285706,290.508331298828,1.57051837444305,37.448486328125,89.9809646606445,0
"21","47722672.00","1",32,54,14,6.19,5.81,14,0,1.5,17.2,171,20.7,,"257",47,15.93,0.0169798154383898,0.0350162945687771,0.0130422655493021,0.0413235202431679,0.0196230076253414,0.0907126367092133,0.0179211106151342,0.0734093114733696,0.0204458702355623,0.0824331045150757,0.149151265621185,0.0890012681484222,0.0305925197899342,0.053665354847908,0.0815637782216072,0.112269923090935,0.149166882038116,0.175173044204712,0.184338584542274,0.206991225481033,-0.386513322591782,0.177900046110153,0.065333865582943,308.826171875,1.57074594497681,37.1983833312988,89.9930648803711,0
"22","47722622.00","1",34,51,15,6.33,5.57,21.9,2,2.6,32.4,160.3,24.6,,"20726",46.55,15.88,0.0330703668296337,0.242446020245552,0.0164441112428904,0.117436930537224,0.0329499058425426,0.194535881280899,0.0281919911503792,0.14685469865799,0.0277854166924953,0.208861649036407,0.157954171299934,0.0671187490224838,0.0226604174822569,0.0451539568603039,0.0229889582842588,0.0603520832955837,0.306162476539612,0.451470851898193,0.442547500133514,0.458704173564911,-0.901236712932587,0.743619620800018,0.195012539625168,227.132705688477,1.56896436214447,39.7582473754883,89.9334945678711,0
"23","47722604.00","19",20,41,39,4.31,3.83,18.4,3,1.9,35.6,141.8,5.2,,"20742",46.39,15.86,0.0322401858866215,0.114130191504955,0.0237898081541061,0.123917289078236,0.0219844542443752,0.146556183695793,0.032374944537878,0.16936719417572,0.0382716618478298,0.15943118929863,0.23070415854454,0.175337508320808,0.0963712483644485,0.114379793405533,0.12052583694458,0.154177084565163,0.201206251978874,0.220139592885971,0.162512078881264,0.225795835256577,-0.148341402411461,0.0902632772922516,0.0754098072648048,227.838973999023,1.57046222686768,37.2968444824219,89.9895477294922,0
"24","47702656.00","17",24,59,17,7.52,7.05,15.2,14,1.8,37.6,180.7,19.6,,"247",46.86,15.89,0.0662294998764992,0.321572154760361,0.0444978177547455,0.252291142940521,0.0259793419390917,0.136758327484131,0.0302721299231052,0.185386404395103,0.0374288819730282,0.170399725437164,0.252324998378754,0.145897924900055,0.0386404171586037,0.0722489580512047,0.0527168773114681,0.152372926473618,0.310629159212112,0.353047907352448,0.359242498874664,0.381691664457321,-0.74406760931015,0.55299961566925,0.232954055070877,290.691833496094,1.57073485851288,37.0938339233398,89.9953842163086,0
"25","47702632.00","3",35,53,12,6.87,5.89,13.5,1,1.6,13.6,214,20.8,,"20723",46.64,15.87,0.0368545576930046,0.142048701643944,0.0325832217931747,0.152722075581551,0.0206027571111917,0.0948187485337257,0.0211712103337049,0.0961569026112556,0.0257585812360048,0.107163153588772,0.195951610803604,0.0920382514595985,0.0199116673320532,0.0415458343923092,0.0220793765038252,0.0988335460424423,0.295232653617859,0.369536340236664,0.330410420894623,0.397893249988556,-0.874723315238953,0.586828112602234,0.239478096365929,270.227386474609,1.57067549228668,37.1535606384277,89.993537902832,0
"26","47702620.00","23",17,41,42,4.1,3.53,35.1,0,2.2,18.2,104.9,12.1,,"20718",46.53,15.85,0.0435933470726013,0.244392961263657,0.0376817733049393,0.146805390715599,0.0259848143905401,0.101392842829227,0.0231435056775808,0.125123783946037,0.0314141660928726,0.14076367020607,0.239713668823242,0.148342624306679,0.0392416678369045,0.0734125003218651,0.0599999986588955,0.156492292881012,0.275708496570587,0.314349055290222,0.340550005435944,0.341621279716492,-0.700411915779114,0.498760014772415,0.202372163534164,301.021606445313,1.57057094573975,37.0927543640137,89.995964050293,0
"27","47682646.00","5",39,54,7,6.39,6.05,20,1,2.2,44.8,247.8,22.9,,"246",46.77,15.85,0.125265136361122,0.560779094696045,0.112063802778721,0.532372653484344,0.0463600195944309,0.203934013843536,0.0339272357523441,0.209263056516647,0.0310607831925154,0.357854306697845,0.179127082228661,0.0774437487125397,0.0284950006753206,0.0617408342659473,0.0295904166996479,0.0861250013113022,0.364399999380112,0.489343732595444,0.49243500828743,0.500002086162567,-0.886632263660431,0.794574797153473,0.208708420395851,257.974090576172,1.57071673870087,37.069034576416,89.9966049194336,0
"28","47642674.00","5",26,46,28,7.14,5.81,20.5,0,2.2,0,105.2,21.9,,"256",47.02,15.83,0.0933165773749352,0.522248208522797,0.0501607246696949,0.266737729310989,0.0440302938222885,0.142569154500961,0.0419700592756271,0.188740268349648,0.0348520949482918,0.145007789134979,0.164240419864655,0.0750411152839661,0.0222850404679775,0.0537555143237114,0.0278047248721123,0.0737960934638977,0.320997059345245,0.419314742088318,0.441359043121338,0.434697449207306,-0.881471157073975,0.717453300952911,0.191389724612236,350.257598876953,1.57069671154022,37.0954513549805,89.9957427978516,0
"29","47642668.00","12",17,61,22,6.07,5.76,14.5,2,1.7,101.8,224.7,14.4,,"248",46.97,15.82,0.0452951230108738,0.196315824985504,0.0293484721332788,0.186169058084488,0.050337877124548,0.272515088319778,0.0387426763772964,0.178257063031197,0.0429448299109936,0.188203394412994,0.156430095434189,0.0803100615739822,0.0398598425090313,0.0775681138038635,0.0607106313109398,0.112211227416992,0.311164081096649,0.353781938552856,0.34784409403801,0.360408097505569,-0.702802956104279,0.507963836193085,0.117130748927593,294.915100097656,1.56872081756592,39.7886543273926,89.9229354858398,0
"30","47642640.00","5",9,30,61,7.12,6.83,28,2,2.4,91.8,292.7,14.9,,"245",46.72,15.8,0.0339499264955521,0.192771464586258,0.0217391829937696,0.14551542699337,0.0168478135019541,0.0878047272562981,0.0172210298478603,0.0767191648483276,0.0257048960775137,0.114630647003651,0.128770783543587,0.0528012812137604,0.0151208341121674,0.031725000590086,0.0154750002548099,0.0537358969449997,0.221236914396286,0.292655050754547,0.329291671514511,0.313203155994415,-0.91022914648056,0.599465429782867,0.171626359224319,234.333679199219,1.57028818130493,37.4667701721191,89.9873352050781,0
"31","47602602.00","2",53,38,9,5.02,4.11,59.8,2,5.5,18.9,95.5,18.5,,"20740",46.38,15.71,0.0292654670774937,0.32294437289238,0.0137608963996172,0.108829542994499,0.0426394864916801,0.205664917826653,0.0258900858461857,0.145696192979813,0.045059472322464,0.309308409690857,0.148029163479805,0.0635500028729439,0.0204522907733917,0.042557705193758,0.0213720835745335,0.0566645860671997,0.283512502908707,0.401337504386902,0.399550825357437,0.413845837116241,-0.898451328277588,0.687902331352234,0.184843689203262,239.767913818359,1.5695344209671,38.9022903442383,89.9540863037109,0
"32","47582644.00","9",22,41,37,5.42,4.57,27.5,0,2.5,0,75.2,10.6,,"96",46.76,15.72,0.0204393118619919,0.0362387858331203,0.0218526292592287,0.0337259285151958,0.00807519163936377,0.0338447131216526,0.00554284872487187,0.0263167098164558,0.0081381518393755,0.0330263935029507,0.257243484258652,0.211018279194832,0.0889991670846939,0.135664582252502,0.177139580249786,0.199495032429695,0.212379112839699,0.22114834189415,0.236817911267281,0.238187700510025,-0.144165366888046,0.0914099588990211,0.00618195021525025,257.040008544922,1.57072460651398,37.083324432373,89.9968032836914,0
"33","47582608.00","2",23,69,8,4.62,4.21,33.1,0,3.5,42.7,66.7,10.7,,"20716",46.43,15.69,0.0424339734017849,0.123233541846275,0.0350911989808083,0.116153784096241,0.0331924147903919,0.107017002999783,0.0244053769856691,0.115637943148613,0.0405842661857605,0.205452397465706,0.226930066943169,0.14050367474556,0.0577768757939339,0.0837522894144058,0.1122687458992,0.127619713544846,0.189041823148727,0.218096271157265,0.196433752775192,0.243758767843246,-0.272641152143478,0.1464534252882,0.10098684579134,252.951248168945,1.56879651546478,39.1554985046387,89.9356460571289,0
"34","47582564.00","30",18,47,34,7.34,7.1,183.1,190,11.3,17.6,100.4,85.5,,"20700",46.04,15.64,0.110115967690945,0.486985296010971,0.0760581865906715,0.574044227600098,0.0848144143819809,0.242860540747643,0.101189702749252,0.20837114751339,0.0360177122056484,0.224562078714371,0.223280847072601,0.092036172747612,0.0204260870814323,0.0467956513166428,0.0215000007301569,0.0913446843624115,0.373612761497498,0.480042576789856,0.494330435991287,0.513682961463928,-0.916639268398285,0.804059684276581,0.278184920549393,261.3330078125,1.57077574729919,36.9611778259277,89.9994812011719,0
"35","47562664.00","4",19,47,33,6.84,6.37,17.7,0,1.9,64.3,213.3,17.5,,"311",46.94,15.71,0.0554741360247135,0.287475645542145,0.0497542545199394,0.246869891881943,0.0457402840256691,0.172811105847359,0.0464443638920784,0.162148162722588,0.0533524639904499,0.20811827480793,0.147812500596046,0.0641729161143303,0.0175639577209949,0.0380662493407726,0.0247539579868317,0.0597416684031487,0.219456255435944,0.286641657352448,0.228200823068619,0.329487502574921,-0.804281532764435,0.40852952003479,0.177809610962868,356.046539306641,1.57074165344238,37.0401611328125,89.9970474243164,0
"36","47562650.00","8",21,62,16,6.29,5.86,14.1,2,1.7,31.6,214.8,12,,"101",46.81,15.7,0.0191565472632647,0.0810966342687607,0.0342964753508568,0.119442880153656,0.0164644867181778,0.0790223926305771,0.0175219904631376,0.0930581092834473,0.0189196616411209,0.0877350941300392,0.239172384142876,0.159681305289268,0.0420475006103516,0.0730752050876617,0.0765925049781799,0.128324896097183,0.256235748529434,0.304530888795853,0.330600410699844,0.32956400513649,-0.623802363872528,0.430580496788025,0.16728538274765,310.701995849609,1.57051074504852,37.1347427368164,89.9943237304688,0
"37","47502586.00","8",13,32,55,4.01,3.52,25.1,0,1.8,14.1,53.5,10.9,,"20738",46.24,15.56,0.0340779386460781,0.179762080311775,0.0288438145071268,0.15425843000412,0.0216429680585861,0.116196058690548,0.0142709957435727,0.0753267332911491,0.0252951197326183,0.121336728334427,0.194680720567703,0.094246044754982,0.0309856254607439,0.0615879185497761,0.0452512502670288,0.074940599501133,0.308923095464706,0.418483376502991,0.314469575881958,0.422504603862762,-0.748409032821655,0.49723207950592,0.193905472755432,255.92903137207,1.57067024707794,37.1325912475586,89.9965057373047,0
"38","47482656.00","3",27,57,16,4.62,4.19,63.9,3,5.3,10.4,112.9,15.2,,"51",46.87,15.6,0.0294484533369541,0.091764397919178,0.0258644875138998,0.0999237671494484,0.0292369276285172,0.117056012153625,0.0249798763543367,0.130884498357773,0.0265399385243654,0.130384430289268,0.142138198018074,0.0557275116443634,0.0159385409206152,0.0312281250953674,0.013977499678731,0.0521998964250088,0.277605712413788,0.363271862268448,0.36619833111763,0.398074686527252,-0.926468253135681,0.661808371543884,0.193845361471176,395.776214599609,1.57070338726044,37.0711936950684,89.9966278076172,0
"39","47482626.00","73",13,31,56,5.65,5.37,118.9,4,5.5,55.2,201.5,21.5,many stones,"20701",46.6,15.57,0.0272635780274868,0.103083021938801,0.0311573240906,0.0891454368829727,0.0154162477701902,0.05866339802742,0.0138640897348523,0.0498788803815842,0.0137354070320725,0.0597997270524502,0.171295791864395,0.0729618594050407,0.0192643757909536,0.0436260439455509,0.0209410414099693,0.0731683745980263,0.281183123588562,0.349640160799026,0.389307916164398,0.377651542425156,-0.897910594940186,0.671971142292023,0.215742021799088,440.593170166016,1.57077050209045,36.9961051940918,89.9984436035156,0
"40","47482612.00","34",15,46,39,5,4.37,43.5,0,3.9,30.7,118.5,12,,"20739",46.48,15.56,0.0884381532669067,0.422954499721527,0.107992649078369,0.407543301582336,0.10229329764843,0.512400925159454,0.0756794363260269,0.373313456773758,0.0952807739377022,0.3621806204319,0.105072915554047,0.0475812517106533,0.00898979138582945,0.0236541666090488,0.0137343751266599,0.0548750013113022,0.217625007033348,0.273083329200745,0.249200820922852,0.288429170846939,-0.895530343055725,0.465649217367172,0.139487788081169,855.552307128906,1.57073867321014,37.0585174560547,89.9965362548828,0
"41","47482608.00","18",14,28,58,5.13,4.77,34.2,1,3.4,91.4,264.9,12.3,,"20743",46.44,15.56,0.0312359929084778,0.104461207985878,0.0188758745789528,0.0645400881767273,0.0217717383056879,0.0737203508615494,0.0153047284111381,0.0669237524271011,0.0206401273608208,0.0871941447257996,0.216457962989807,0.100183919072151,0.0252149999141693,0.0636889636516571,0.031315416097641,0.109488673508167,0.354802519083023,0.424836307764053,0.436591655015945,0.456547021865845,-0.866146862506866,0.705873370170593,0.246664732694626,658.982421875,1.57071173191071,37.0425910949707,89.9970169067383,0
"42","47482572.00","30",30,53,17,4.97,4.19,29.3,2,2.3,0,231.2,14.9,,"20780",46.12,15.52,0.0432066097855568,0.137867659330368,0.0347296372056007,0.128446787595749,0.0279198735952377,0.131317019462585,0.0200574770569801,0.0925735086202621,0.0277789998799562,0.133007481694221,0.204202830791473,0.089578203856945,0.0241510421037674,0.0615454167127609,0.0258304178714752,0.108878150582314,0.404178291559219,0.48451441526413,0.491520822048187,0.513745188713074,-0.900143563747406,0.794492602348328,0.245239496231079,402.344146728516,1.57067024707794,37.0595932006836,89.9968566894531,0
"43","47462636.00","3",22,36,42,4.76,3.83,19.9,1,1.5,0,93.2,10.3,,"99",46.69,15.56,0.0235406588762999,0.113105490803719,0.0248748250305653,0.0849374756217003,0.0117124849930406,0.0586869232356548,0.0143216429278255,0.0456252619624138,0.0151125630363822,0.0626422241330147,0.258482426404953,0.141470089554787,0.0465666651725769,0.0911874994635582,0.0661083310842514,0.148921146988869,0.353533059358597,0.408539921045303,0.421583324670792,0.436014145612717,-0.728892922401428,0.604967713356018,0.219730660319328,451.152008056641,1.57069659233093,37.0361099243164,89.9975357055664,0
"44","47462578.00","18",13,40,47,7.94,7.3,7.4,28,0.8,0,91.6,14.9,,"20794",46.17,15.5,0.0421762093901634,0.174255207180977,0.0268507357686758,0.115884549915791,0.0164583306759596,0.0828161537647247,0.0179091393947601,0.0692911073565483,0.0208877939730883,0.0783081352710724,0.191319018602371,0.0894746780395508,0.0268900003284216,0.0586208365857601,0.0314670838415623,0.0963852554559708,0.279126971960068,0.341035515069962,0.405418753623962,0.379627346992493,-0.855948269367218,0.671345174312592,0.216717928647995,306.284149169922,1.57068991661072,37.5106964111328,89.9803085327148,0
"45","47462548.00","13",22,46,33,6.13,5.31,30.1,0,2.9,0,61.5,13.1,,"20697",45.9,15.48,0.0414663106203079,0.324339210987091,0.0337513498961926,0.221235409379005,0.0398414321243763,0.20633938908577,0.0307673029601574,0.204943165183067,0.036797009408474,0.19560444355011,0.233542397618294,0.157919824123383,0.0341130420565605,0.0674043446779251,0.0412217415869236,0.132804200053215,0.281516492366791,0.335511833429337,0.403739124536514,0.354467004537582,-0.814717471599579,0.649569451808929,0.222775369882584,160.876113891602,1.57049477100372,37.335521697998,89.9879760742188,0
"46","47442674.00","16",18,56,26,6.7,6.1,21.3,1,2.3,38.5,217.7,21.4,,"290",47.04,15.57,0.0504775904119015,0.231700628995895,0.0480132214725018,0.293722331523895,0.0263335332274437,0.105940796434879,0.0226528309285641,0.105021089315414,0.0359592735767365,0.15602320432663,0.118456244468689,0.0535264648497105,0.0179500002413988,0.0322500020265579,0.0171499997377396,0.0523156262934208,0.194290727376938,0.253961801528931,0.236099988222122,0.26726707816124,-0.864560723304749,0.454488813877106,0.151654675602913,433.230926513672,1.57071816921234,37.0649909973145,89.9968338012695,0
"47","47442670.00","5",19,54,27,4.33,3.83,13.1,0,1.1,11.2,122.7,7.7,,"292",47,15.56,0.0365574397146702,0.120199091732502,0.0283681880682707,0.0745101645588875,0.0129518751055002,0.043685857206583,0.0131060807034373,0.0372936315834522,0.0143070248886943,0.0549699664115906,0.276061326265335,0.154135644435883,0.0368712618947029,0.0716590583324432,0.0575326755642891,0.144623935222626,0.285920023918152,0.333919137716293,0.369359850883484,0.368709862232208,-0.73045825958252,0.542111456394196,0.250661075115204,370.36767578125,1.57066309452057,37.6006469726563,89.990852355957,0
